cohort,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V2,HALLMARK_DNA_REPAIR,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_UNFOLDED_PROTEIN_RESPONSE
SRP042620,0.0,0.0,0.022442,0.315438,0.918685
VUMC,0.0,0.0,0.024876,0.0,0.007527
GSE192341,0.0,0.006775,0.011566,0.0,0.0
GSE181466,0.0,0.0,0.0,0.009569,0.0
TCGA,0.0,0.0,0.0,0.0,0.031648
GSE202203,0.0,0.0,0.0,0.038402,0.0
SRP157974,0.0,0.0,0.0,0.0,0.0
TNBC_All_Pooled,0.0,0.0,0.0,0.0,0.0
