DepMap_ID,MTUS1_expression,MYC_chronos,MYC_dependency_neg_chronos
ACH-000111,2.9338738271941454,-1.6545060536264715,1.6545060536264715
ACH-000148,0.2237868914633005,-1.8273045461047248,1.8273045461047248
ACH-000212,0.7513163824214195,-2.3797178127460072,2.3797178127460072
ACH-000223,3.876962838867824,-1.6833960046142673,1.6833960046142673
ACH-000258,0.4707928307665119,-1.7927040610003733,1.7927040610003733
ACH-000276,2.7837285843053405,-1.5134910925647498,1.5134910925647498
ACH-000288,0.2719525433997196,-2.6725151401821785,2.6725151401821785
ACH-000374,3.916470646101757,-1.3598227346237852,1.3598227346237852
ACH-000573,1.815176909684968,-1.9627336462919656,1.9627336462919656
ACH-000621,2.7774693582503773,-1.3910695481853308,1.3910695481853308
ACH-000624,2.623148269133506,-1.8334955687540555,1.8334955687540555
ACH-000668,4.254005735918392,-1.23424325401646,1.23424325401646
ACH-000699,2.9998930362635017,-1.7946623934627632,1.7946623934627632
ACH-000721,0.8339009024194828,-2.7309685007121645,2.7309685007121645
ACH-000768,2.781645187037783,-1.9123896415786767,1.9123896415786767
ACH-000849,4.8272394916094985,-1.481176915347823,1.481176915347823
ACH-000856,1.898213576691791,-1.7395801375005793,1.7395801375005793
ACH-001388,1.080818907563638,-1.8919863901069824,1.8919863901069824
ACH-001389,0.397244806919041,-1.5560775146554142,1.5560775146554142
ACH-001390,2.001989966108141,-1.9827147283031792,1.9827147283031792
ACH-001391,0.6317785899652373,-1.7324565861470282,1.7324565861470282
ACH-001392,3.1924490831985817,-1.4587337333142247,1.4587337333142247
ACH-001394,2.2444913069136687,-1.7321439280455826,1.7321439280455826
ACH-001396,4.07805220225324,-0.6801883901335983,0.6801883901335983
