Unnamed: 0,Gene,Pearson Correlation,p_value,Spearman Correlation,Spearman p_value,n,min_score,max_score,p_value_FDR,Spearman p_value_FDR
856,MYC,0.6594351654109767,0.0004563023812594,0.6643478260869564,0.0003992432871265,24,-2.7309685007121645,-0.6801883901335983,0.1647961127913362,0.1056854015779401
346,DMAP1,0.6509207386363863,0.00057200590962,0.6008695652173912,0.0019025985739905,24,-1.6970524543391474,-0.5195204243289839,0.1647961127913362,0.1410206063041759
919,NOB1,0.608019770731116,0.0016219717312338,0.6147826086956522,0.0013898820033517,24,-1.6179889730915689,-0.5745760064096536,0.2436798181436046,0.1355500711689915
320,DDX49,0.6072788661976568,0.0016493017864625,0.6217391304347826,0.0011814091331272,24,-2.3857878964091483,-0.7225776865779265,0.2436798181436046,0.1355500711689915
514,GGPS1,0.599651750368025,0.001954297685989,0.6165217391304347,0.0013350175981865,24,-2.032220848015895,0.0496151984984136,0.2436798181436046,0.1355500711689915
305,DDX10,0.5831735112567868,0.002780557365423,0.5182608695652173,0.0094761921674726,24,-2.4734664028841395,-0.4645984988252102,0.2436798181436046,0.3027480014883948
1383,SAP18,0.5795456875675715,0.0029976478504898,0.62,0.0012308328706616,24,-1.369135875449804,-0.4099486855868227,0.2436798181436046,0.1355500711689915
928,NOL9,0.5769508156528455,0.0031615880219214,0.6026086956521738,0.0018307926730697,24,-1.519737491340157,-0.4100792798828787,0.2436798181436046,0.1410206063041759
1250,RIOK1,0.5744488352736917,0.0033267825483427,0.6269565217391303,0.0010432148096174,24,-1.530443368411447,-0.503013174446264,0.2436798181436046,0.1355500711689915
1777,WDR18,0.5734881156852464,0.0033921251083555,0.5304347826086956,0.0076656256799485,24,-2.070237501069999,-0.1152510514102669,0.2436798181436046,0.263044525647125
1510,SRFBP1,0.5730954178463102,0.0034191447769744,0.6234782608695651,0.0011336973606633,24,-1.2952184280776105,-0.1042720808525983,0.2436798181436046,0.1355500711689915
1723,URB2,0.5481035933009026,0.0055567109442906,0.5226086956521738,0.0087927556596547,24,-1.3157119627327567,-0.2156268808895168,0.3432195126590192,0.2858416883743916
1598,THG1L,0.5421194964830846,0.0062083182269575,0.64,0.0007568767697969,24,-1.2225604035675708,-0.0007230151709606,0.3595004273297634,0.1355500711689915
1842,ZNF574,0.5334070350258375,0.0072703622024596,0.5547826086956522,0.0048981081734546,24,-1.1931997257159588,-0.0369450299394104,0.3739228994082375,0.2327229344977293
632,IMP3,0.5327944026590475,0.0073504115805951,0.528695652173913,0.0079050859550298,24,-2.0422960825834844,-0.7127223933715388,0.3739228994082375,0.266329532266732
1660,TSR2,0.5327241561269117,0.0073596370660431,0.5434782608695652,0.0060550210077491,24,-2.437778259753437,-0.968560184922449,0.3739228994082375,0.2439120418991114
937,NOP9,0.5305304808820709,0.0076526262969488,0.5321739130434783,0.0074322348627997,24,-1.5119557879875043,-0.2883156352233251,0.3739228994082375,0.263044525647125
1745,UTP4,0.5292052913412533,0.0078342781035625,0.551304347826087,0.0052323899725921,24,-2.098034584885418,-0.4012391975233076,0.3739228994082375,0.234664221679943
799,MLST8,0.5288958221100001,0.0078772116760899,0.4695652173913042,0.0206097137041588,24,-1.5072204132090536,-0.1209869700462035,0.3739228994082375,0.3937092731320237
370,DYNLL1,0.5240632221021392,0.0085734617830103,0.5504347826086956,0.0053188868378616,24,-1.4411317351546065,0.0780513108756976,0.3759429301291747,0.234664221679943
464,FARSA,0.5200599398236514,0.0091882444386143,0.6026086956521738,0.0018307926730697,24,-1.7600913083081189,-0.4531843107178742,0.3759429301291747,0.1410206063041759
1784,WDR46,0.5192236654440899,0.009321177518619,0.5678260869565217,0.0037996733225035,24,-1.7518737995291256,-0.3883076788712183,0.3759429301291747,0.2108943065574205
1089,POP1,0.519152043565344,0.0093326361499957,0.4852173913043477,0.016244462180403,24,-1.4435787061205114,-0.7700941078503196,0.3759429301291747,0.3762623552535852
1095,PPAN,0.5162302777909356,0.0098101359402339,0.5356521739130434,0.0069831847497039,24,-1.602578370543169,-0.6747061129251611,0.3822697048590742,0.2587968268240284
8,ABT1,0.5146433117756558,0.0100778523620521,0.5782608695652174,0.0030778970421024,24,-1.7789979238643805,-0.4053564529006184,0.3822697048590742,0.1814339299487091
34,ALG1,0.5140985534455378,0.0101711331054335,0.4713043478260869,0.0200822311886079,24,-1.463942025433782,-0.032740140805251,0.3822697048590742,0.3937092731320237
105,BAP1,0.5099769274961187,0.0109002885474139,0.4860869565217391,0.0160260573508189,24,-1.022042037126811,0.0047072619391329,0.3869551550664526,0.3759023325451585
1283,RPL14,0.5083897605344639,0.0111923404418525,0.5895652173913043,0.0024304551912924,24,-2.594616287233589,-1.037372864519562,0.3869551550664526,0.1608440524808869
1301,RPL32,0.5073544761949046,0.0113862973005275,0.5634782608695652,0.0041399989142961,24,-2.9092289417922537,-1.6200872528600587,0.3869551550664526,0.2108943065574205
1152,PSMB6,0.5062711235169635,0.0115922188285909,0.4747826086956521,0.0190600986673606,24,-2.280167777909077,-0.5187571272505636,0.3869551550664526,0.392426253673547
1749,VARS1,0.5057400827279358,0.0116942734396769,0.5408695652173913,0.0063521895787367,24,-2.2621787890240923,-0.8609255796093308,0.3869551550664526,0.2491479900159696
842,MSTO1,0.5019082857724213,0.0124528221562016,0.5130434782608695,0.0103538281618247,24,-1.975498535788132,-0.2602644661825485,0.3911030416176557,0.3145187472764151
1529,SSB,0.5004093268713196,0.0127603628635072,0.5634782608695652,0.0041399989142961,24,-1.0240361107241025,-0.3409838919304087,0.3940825397679822,0.2108943065574205
465,FARSB,0.4975169209892466,0.013371450630279,0.5478260869565217,0.0055856060440724,24,-2.413237927916009,-0.7515385804196675,0.3997065805785351,0.2407006511550299
497,GAPDH,0.496666776851814,0.013555563186003,0.4365217391304347,0.032952895775527,24,-1.9297351494464736,-0.2490143628475885,0.3997065805785351,0.4697055067080897
1280,RPL12,0.4950662449501394,0.0139078303224141,0.551304347826087,0.0052323899725921,24,-3.2873992538410106,-1.4874289627471342,0.4026751498036469,0.234664221679943
690,KRR1,0.4931977677491884,0.0143285332153969,0.5460869565217391,0.0057695732589104,24,-1.8721844325688315,-0.2604301739203687,0.4084734161250839,0.242977710199115
1337,RPS16,0.4864326206970475,0.0159399073187867,0.5043478260869565,0.0119653551777495,24,-2.902633082713153,-1.2347302100545323,0.4197516853576202,0.3356771876844034
1151,PSMB5,0.4852525962610869,0.0162355729607033,0.4634782608695652,0.0225449728521831,24,-2.938582608531221,-0.3126847731826587,0.4197516853576202,0.4136221256940136
988,OSGEP,0.4836881585290875,0.0166344445050888,0.4495652173913043,0.0275219117697611,24,-1.7062394681608242,-0.4056458393085645,0.4222414475058846,0.4553402009764947
292,DAD1,0.4824419112586459,0.0169578791081811,0.3921739130434782,0.0580363388702506,24,-2.1437157952883297,-0.6575467770922399,0.424634459289996,0.5435849775890391
1372,RSL24D1,0.4802415155619789,0.0203774926412208,0.4802371541501976,0.0203787981939123,23,-2.63160445123302,-1.197007153284144,0.4585545803612454,0.3937092731320237
1185,PWP2,0.4768041057554502,0.0184857443148953,0.5052173913043477,0.0117954453504015,24,-1.7755327178885902,-0.3923708079905253,0.4507116344144868,0.3356771876844034
434,EP400,0.4751250908666736,0.0189617846969638,0.4417391304347826,0.030686519885684,24,-1.3268740408351518,-0.4486750274890728,0.4563141174477136,0.4604071872234041
0,AAMP,0.4706754990620678,0.0202716841188176,0.5060869565217391,0.0116275282833614,24,-1.4979732058264583,-0.0576420927249674,0.4585545803612454,0.3356771876844034
1497,SPCS2,0.4691636560886256,0.0207330891875051,0.5156521739130434,0.0099069702653589,24,-1.179878523180278,-0.5101832589520385,0.4585545803612454,0.3059602650285021
742,MASTL,0.4674256453085776,0.0212739911289496,0.4234782608695652,0.0392039475939416,24,-2.1173950263041,-0.1962890711563549,0.4585545803612454,0.4898318863132684
593,HIRA,0.4672792300402135,0.021320074915585,0.3904347826086956,0.0592575096993987,24,-1.3459386655175314,0.0904406208023066,0.4585545803612454,0.5435849775890391
1437,SLC35B1,0.4647931546103326,0.0221149681113452,0.4165217391304347,0.0429008175220302,24,-1.8045242742083665,-0.2431611521348036,0.4585545803612454,0.5063389482058728
331,DHPS,0.4633438098618079,0.0225893196894178,0.4721739130434783,0.0198226254173526,24,-1.593544246205841,-0.3192815263748683,0.4585545803612454,0.3937092731320237
252,COPE,0.4629298246932921,0.0227263096145422,0.4513043478260869,0.0268555202756079,24,-1.712274712922379,0.0612949027329337,0.4585545803612454,0.448317829465779
1410,SERBP1,0.4621122464742448,0.0229988208267116,0.3834782608695652,0.0643413980922191,24,-1.3713001719738127,-0.1621302562368166,0.4585545803612454,0.5519657901151952
1335,RPS15,0.462065915822211,0.0230143421336189,0.4521739130434782,0.0265272136321037,24,-2.8438320091132545,-1.4425884121864732,0.4585545803612454,0.4468629714571651
1092,POP7,0.4600510230490839,0.0236975762562324,0.577391304347826,0.0031332357033776,24,-1.3322941163466813,-0.0954280268814394,0.4665661099222947,0.1814339299487091
360,DPF2,0.4547449887144006,0.0255753014127517,0.2069565217391304,0.3318915676831471,24,-1.6393070743057103,-0.2529037296287541,0.4885673558539062,0.831788605102154
65,ARL2,0.452085034356395,0.0265606214687544,0.5165217391304348,0.0097616130637372,24,-1.953609559309846,-0.8951883172898407,0.4915087513801323,0.3059602650285021
656,ISG20L2,0.4515324421343087,0.0267690889640211,0.4234782608695652,0.0392039475939416,24,-1.1517330360830278,-0.3649300254909661,0.4915087513801323,0.4898318863132684
1184,PWP1,0.4500865403416956,0.0273207778694838,0.4591304347826086,0.024015134743792,24,-1.1277189188354737,-0.1993247111564184,0.4915087513801323,0.4278850450023717
1366,RRP12,0.4457977610726692,0.0290109811012611,0.4434782608695652,0.0299593396864675,24,-1.777582811888195,-0.7390400240712205,0.5119747426727327,0.4604071872234041
618,HYOU1,0.4419444622176993,0.0305999387247064,0.4808695652173912,0.0173732415826024,24,-1.544694322122964,-0.0469488491289568,0.527760033268969,0.3787366665007341
923,NOL10,0.4416649004156384,0.0307178681261856,0.3547826086956521,0.088917431073146,24,-1.8013632775067632,-0.5155129008100058,0.527760033268969,0.6383898505605603
405,EIF3I,0.441025650769045,0.030988889843523,0.4408695652173913,0.0310553540275205,24,-1.9676850747143804,-0.883983548995002,0.527760033268969,0.4604071872234041
1307,RPL37,0.4387863013468764,0.0319533804390398,0.4626086956521739,0.0228330342053136,24,-2.1799318426605394,-0.4316404799114803,0.5382692177594617,0.4148001213965306
1659,TSR1,0.4363887271520772,0.0330123679587578,0.4339130434782608,0.0341349601326374,24,-1.9591884429787456,-0.639613461429805,0.5461778377462343,0.4791824327710386
211,CHAF1B,0.4325660847887602,0.0347583473618846,0.4234782608695652,0.0392039475939416,24,-2.3511443671082253,-1.0285057947837388,0.5495787098329612,0.4898318863132684
1394,SCD,0.4314945422520141,0.0352606929978876,0.3443478260869564,0.0994067009930168,24,-1.5870681175186423,0.1795260864372161,0.5495787098329612,0.6463179541756497
1126,PRMT1,0.4314938994880448,0.0352609960478858,0.4860869565217391,0.0160260573508189,24,-2.234352291586294,-0.5332765863495849,0.5495787098329612,0.3759023325451585
1663,TTC4,0.4286961063806863,0.0365998024917417,0.3399999999999999,0.1040379666981943,24,-1.1075556687771442,-0.0552549403710022,0.5495787098329612,0.6512917307153857
1064,POLR1C,0.4282553940577268,0.0368143130799019,0.5043478260869565,0.0119653551777495,24,-2.265317212926724,-0.6406434450064087,0.5495787098329612,0.3356771876844034
1775,WDR1,0.4267388594510742,0.0375600788965594,0.497391304347826,0.0133985249534804,24,-1.683660146936636,0.0737707178791623,0.5495787098329612,0.3545923975436612
402,EIF3F,0.4264494737120423,0.0377037338731792,0.4060869565217391,0.0489534289805578,24,-1.7978888895703076,-0.657250344459049,0.5495787098329612,0.5180695230140421
754,MCM6,0.4257842829155088,0.0380355904804225,0.5626086956521739,0.0042110573894358,24,-1.4912114684107332,-0.4303634561776707,0.5495787098329612,0.2108943065574205
1780,WDR3,0.4236363539169601,0.0391229556790301,0.4226086956521738,0.0396517986761955,24,-1.7006252728060525,-0.6324718913508494,0.5495787098329612,0.4898318863132684
359,DPAGT1,0.4225260953635583,0.0396945491603806,0.3895652173913043,0.0598754793748705,24,-2.323239095963604,0.1952327167388889,0.5495787098329612,0.5441919602724616
219,CHMP4B,0.4222254068534326,0.0398504801543425,0.3860869565217391,0.0623971595676503,24,-2.27310538055452,0.4793233405216826,0.5495787098329612,0.5505806508516957
343,DKC1,0.4198250213712351,0.0411126580386299,0.4295652173913042,0.0361796753352911,24,-1.840695031769649,-0.6335228868008962,0.5495787098329612,0.4898318863132684
666,KAT5,0.4172660078277064,0.0424926883563854,0.3904347826086956,0.0592575096993987,24,-1.0569157345690985,-0.1994002049002848,0.5495787098329612,0.5435849775890391
394,EIF2B5,0.416073313631027,0.0431481999122104,0.44,0.0314277151501786,24,-1.6068496779229413,-0.5988663933971731,0.5495787098329612,0.4604071872234041
159,CCNK,0.4157956512824141,0.0433019382814961,0.4060869565217391,0.0489534289805578,24,-1.7518165140987048,-1.190191682214792,0.5495787098329612,0.5180695230140421
938,NOPCHAP1,0.4137291936616322,0.044459666847773,0.357391304347826,0.0864297568213866,24,-1.001210424646803,0.0884433565064886,0.5508464466110461,0.6383898505605603
1792,WDR75,0.4134560196584329,0.0446145108580902,0.4391304347826086,0.0318036265324315,24,-2.0755629138729645,-0.7364624017645106,0.5508464466110461,0.4604071872234041
1091,POP5,0.4129750130356003,0.0448881885797452,0.4182608695652173,0.0419519161817762,24,-2.1300643944950317,-0.5008269408559922,0.5508464466110461,0.5063389482058728
1580,TBL3,0.4119259713183328,0.0454896239892459,0.4582608695652173,0.0243182330064252,24,-1.7827141475289952,-0.5066426898941815,0.5524781086426884,0.4291589120086291
1190,RAB18,0.4117043999718178,0.0456174585117816,0.3139130434782608,0.1352238108343473,24,-1.1380039578714043,0.5735748806664914,0.5524781086426884,0.69186086170439
924,NOL11,0.405961348821734,0.0490301386093945,0.4008695652173912,0.0522194608212962,24,-1.1243439176649757,-0.3062221657374117,0.5616120176920305,0.5230006429890821
630,ILF2,0.4057877250228434,0.0491363263864321,0.4086956521739129,0.0473813375395418,24,-1.3959794370070924,-0.3014935207370453,0.5616120176920305,0.5134363652676667
631,ILF3,0.4050338467037722,0.0495994777018564,0.3208695652173913,0.1263216392307609,24,-1.7139923616571902,-0.393168615516464,0.5616120176920305,0.690483768420649
